track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338,231
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,27
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,20
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,72
Low,SZA,1,2022,12,9,1911,0,272377463,23
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,39
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,32
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,11
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,108
Ain���t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,4
Thinkin��� B,Morgan Wallen,1,2023,3,3,604,6,125917280,22
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,29
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61
LET GO,Central Cee,1,2022,12,15,2301,20,298063749,49
Sial,Mahalini,1,2023,1,23,134,4,166570053,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,32
PLAYA DEL INGL�,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663,30
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,14
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415,1
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,59
PERO T�,"Karol G, Quevedo",2,2023,2,23,387,11,93438910,11
Hype Boy,NewJeans,1,2022,8,1,892,17,363472647,20
Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382,66
Monoton�,"Ozuna, Shakira",2,2022,10,19,3645,15,380726517,118
���98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,6
WANDA,Quevedo,1,2023,1,20,888,22,175399345,11
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468,16
In The End,Linkin Park,1,2000,10,24,25065,6,1624165576,63
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,20
Lovezinho,Treyce,1,2022,7,28,242,0,70069745,12
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14,609293408,94
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,20
Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576,16
Sem Alian��a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665,6
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149,122
Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230,7
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,263453310,26
LA CANCI�,"J Balvin, Bad Bunny",2,2019,6,28,6398,31,1435127549,177
Qu�� Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,236857112,19
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,57
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140,45
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473,0
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5
���������������������,Fujii Kaze,1,2020,5,20,685,14,403097450,24
Besos Moja2,"Wisin & Yandel, ROSAL�",2,2022,9,29,2460,13,309483971,53
Maan Meri Jaan,King,1,2022,10,12,288,6,319566866,11
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,74
My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512,0
Devil Don���,Morgan Wallen,1,2023,3,3,166,0,32526947,2
LLYLM,ROSAL�,1,2023,1,27,1838,0,124988687,105
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664,86
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,88
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721,23
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624,27
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295,15
Shirt,SZA,1,2022,10,28,3469,0,309653982,71
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960,129
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354,113
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035,47
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,1065580332,113
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672,9
Calm Down,R��,1,2022,2,9,4013,10,445763624,107
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184,13
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753,12
Space Song,Beach House,1,2015,1,1,17852,4,789753877,69
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833,11
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9,606361689,124
Mu��,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253,33
TV,Billie Eilish,1,2022,7,21,3009,2,338564981,68
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953,136
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902,82
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018,21
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,1897517891,537
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,12
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895,57
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270,128
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973,532
After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885,1
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4,222612678,27
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,0,1814349763,300
MIDDLE OF THE NIGHT,Elley Duh�,1,2020,1,10,4057,8,872137015,78
Atlantis,Seafret,1,2015,4,22,3045,6,571386359,43
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,304079786,54
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0,174006928,14
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823,72
Blind,SZA,1,2022,12,9,1484,0,163284000,22
Die For You,Joji,1,2022,11,4,1703,0,246390068,38
Doja,Central Cee,1,2022,7,20,4169,44,482257456,57
Gatita,Bellakath,1,2022,10,3,1054,0,168684524,9
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819,39
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622,12
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,120
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,428685680,104
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327,117
Dream On,Aerosmith,1,1973,1,5,168,0,838586769,0
Limbo,Freddie Dredd,1,2022,8,11,688,0,199386237,14
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,972509632,238
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0,213438580,34
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105,344
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833,38
Evergreen (You Didn���t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,227918678,70
Good Days,SZA,1,2020,12,24,10426,2,826623384,133
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301,198
Woman,Doja Cat,1,2021,6,25,9424,0,1329090101,202
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132,2
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,462791599,173
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203,8
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,6,366599607,26
Agudo M��gi,"Styrx, utku INC, Thezth",3,1930,1,1,323,0,90598517,4
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,4,1479264469,56
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435,387
Last Christmas,Wham!,1,1984,1,1,22153,0,1159176109,274
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,0,769213520,191
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,0,741301563,165
It's Beginning To Look A Lot Like Christmas,Michael Bubl�,1,2011,10,14,12353,0,807561936,35
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,834129063,231
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,663832097,182
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,446390129,88
Snowman,Sia,1,2017,1,1,5140,0,690104769,85
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,0,485285717,144
Feliz Navidad,Jos�� Felic,1,1970,11,1,3788,0,520034544,21
Holly Jolly Christmas,Michael Bubl�,1,2011,10,14,7655,0,476244795,5
Mistletoe,Justin Bieber,1,2011,1,1,9577,0,629173063,195
Sleigh Ride,The Ronettes,1,1963,11,22,10114,0,404664135,114
Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329,5
Love Language,SZA,1,2022,12,9,1127,0,110849052,16
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,0,460492795,130
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786,7
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,0,395591396,108
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,0,389771964,140
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,0,403939487,1
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,0,481697415,209
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250,16
Special,SZA,1,2022,12,9,906,0,88092256,6
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786,90
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,0,473248298,126
SOS,SZA,1,2022,12,9,827,0,73981293,6
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938,13
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,0,395591396,73
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,429504768,50
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,242767149,121
Gone Girl,SZA,1,2022,12,9,892,0,65362788,3
F2F,SZA,1,2022,12,9,989,0,67540165,5
Notice Me,SZA,1,2022,12,9,819,0,62019074,14
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,135723538,72
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,0,295998468,89
My Only Wish (This Year),Britney Spears,1,2000,11,7,6952,0,261116938,115
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549,10
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421,2
I Hate U,SZA,1,2021,12,3,4094,0,356709897,66
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992,3
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,0,301869854,1
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715,65
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,6
Conceited,SZA,1,2022,12,9,899,0,56870689,2
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194,33
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339,12
Tubar��o Te,"Dj LK da Esc��cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341,21
Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708,39
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647,27
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,0,180577478,108
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,34,809306935,83
Too Late,SZA,1,2022,12,8,714,0,49262961,0
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082,38
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,0,245350949,120
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,178660459,32
Far,SZA,1,2022,12,9,680,0,51641685,2
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948,2
GAT��,"Maldy, Karol G",2,2022,8,25,3328,13,322336177,39
���abcdefu,Gayle,1,2021,8,13,7215,0,1007612429,170
Sacrifice,The Weeknd,1,2022,1,7,4440,0,326792833,81
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368,13
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,349585590,65
Out of Time,The Weeknd,1,2022,1,7,3711,0,339659802,49
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,674772936,183
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,2785,0,432719968,95
Pepas,Farruko,1,2021,6,24,14114,17,1309887447,252
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,7
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,11
Infinity,Jaymes Young,1,2017,6,23,4375,0,888046992,24
Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871,18
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803,17
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593,259
"Here We Go��� Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,7
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011,382
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9
Need To Know,Doja Cat,1,2021,6,11,6672,0,1042568408,125
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776,275
love nwantiti (ah ah ah),Ckay,1,2019,7,26,5669,2,726837877,74
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538,38
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,920797189,173
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,539595276,68
Beggin,M��ne,1,2017,12,8,8559,0,1367810478,183
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856,67
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072,61
MONEY,Lisa,1,2021,9,10,2566,13,863625566,44
The Motto,"Ti��sto, Ava",2,2021,11,4,9151,6,656013912,240
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,1056760045,138
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,611994237,114
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859,85
Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380,34
drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199,185
Malvad��,"Xam��, Gustah, Neo B",3,2021,11,30,648,1,240684449,14
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007,50
Don���t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,1
Oh My God,Adele,1,2021,11,19,4431,0,466214729,105
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480,32
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194,45
Medallo,"Justin Quiles, Lenny Tav��rez, BL",3,2021,10,27,2780,2,393230256,54
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015,56
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,33
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426,52
Volv�,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126,138
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,188
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,540539717,42
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148,63
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,47
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,0
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816,77
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,1445941661,231
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,189
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487,20
L���,Stromae,1,2022,1,9,2035,0,108809090,41
Nost��l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353,86
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,421040617,105
Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661,43
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229,69
Butter,BTS,1,2021,5,21,4779,6,1143647827,180
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,54
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250,83
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,117
Dynamite,BTS,1,2020,8,21,8528,5,1692897992,239
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,44
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357,110
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,17
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,101
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,237
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,45
Don't Be Shy,"Ti��sto, Kar",2,2021,8,1,6026,0,566954746,171
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16
LA FAMA (with The Weeknd),"The Weeknd, ROSAL�",2,2021,11,11,4640,3,374706940,81
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,20
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418,24
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,23
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,111
Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248,42
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,3
ELEVEN,IVE,1,2021,12,1,521,1,247737946,17
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,1699402402,237
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,13
DANCE CRIP,Trueno,1,2021,11,17,731,0,198883004,14
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354,25
Praise God,Kanye West,1,2021,8,29,4651,0,376333030,24
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627,43
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237,205
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,25
Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,195
Sobrio,Maluma,1,2021,7,8,3506,10,513643924,103
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,60
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581,20
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,54
The Business,Ti��,1,2020,1,1,14311,0,1062345656,255
positions,Ariana Grande,1,2020,10,23,8207,0,1252563873,175
I WANNA BE YOUR SLAVE,M��ne,1,2021,3,19,4873,0,851070493,65
Vai L�� Em Casa ,"Mar��lia Mendon��a, George Henrique &",2,2021,10,22,772,0,263894529,7
The Feels,TWICE,1,2021,10,1,1150,0,345903614,20
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566,111
No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,92
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,122
Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,4
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457,29
Bored,Billie Eilish,1,2017,3,30,4204,0,777765388,39
Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,1959,0,412795151,19
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110,146
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,101
Every Summertime,NIKI,1,2021,8,10,1211,2,290228626,30
Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628,5
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,167
The Nights,Avicii,1,2014,1,1,17354,8,1456081449,92
Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334,174
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,144
C��,Rauw Alejandro,1,2021,6,25,2636,3,465959382,36
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8
Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672,533
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,188
Qu�� M��,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,92
All of Me,John Legend,1,2013,8,1,27221,0,2086124197,308
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265
Arcade,Duncan Laurence,1,2019,3,7,6646,0,991336132,107
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618,118
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,22
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,114
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,93
Streets,Doja Cat,1,2019,11,7,5728,0,865640097,85
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,368
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,10
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,143
Permission to Dance,BTS,1,2021,7,9,1801,2,608334048,77
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,209
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345,141
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,78
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,272
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tav��rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,72
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17
When I���m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,3270,0,226897599,89
Esque��a-Me Se For C,"Mar��lia Mendon��a, Maiara &",2,2021,10,14,580,0,258316038,24
Mi��n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,61
S��,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,30
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,151
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,4
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364,76
