track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47
CORAZ��N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60
Novidade na ��,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104
Makeba,Jain,1,2015,6,22,6060,53,165484133,150
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28
Don���t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49
Snooze,SZA,1,2022,12,9,2839,25,399686758,58
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89
Take Two,BTS,1,2023,6,9,674,47,118482347,20
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,384
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,41
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,98
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,88
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,69
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,7
LAGUNAS,"Jasiel Nu��ez, Peso P",2,2023,6,22,58,18,39058561,2
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,101
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,80
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,19
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",3,2023,5,12,1094,34,90839753,40
august,Taylor Swift,1,2020,7,24,7324,22,607123776,25
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,69
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,21
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424,8
Feliz Cumplea��os Fe,Feid,1,2022,8,19,3430,38,601863821,45
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,201
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122,437
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,221
